fact_id,date,month_date,customer_state,payment_type,product_category_name,revenue,orders,total_payment_value,avg_price,avg_freight,batch_id,updated_at
20461f4644abebc9589f010ae6dc91117f1e1f5ed0c906878dabc35e065766d3,2016-09-15,2016-09-01,sp,unknown,beleza_saude,19435.68000000004,1,0.0,44.990000000000094,2.830000000000003,batch_20260109_2216,2026-01-09 18:38:59
6502dcab4bcd219ef45b74025e7a333297362afab5ee547a6f0c03dd52893bca,2016-10-03,2016-10-01,rs,boleto,esporte_lazer,8408.159999999989,2,1113.8399999999992,29.19499999999996,17.215000000000007,batch_20260109_2216,2026-01-09 18:38:59
2b4d81506afeb25f56e615b6617a649c6341959c0c4173c5c8511e83e0e05005,2016-10-03,2016-10-01,mg,credit_card,moveis_decoracao,10785.599999999971,1,1107.2400000000011,74.8999999999998,17.369999999999937,batch_20260109_2216,2026-01-09 18:38:59
b44c7c9c25e1a69578d7807af667cf57898bcab601d9ac31f303dd282f97393b,2016-10-03,2016-10-01,sp,credit_card,moveis_decoracao,17265.599999999977,1,1601.5200000000002,119.89999999999984,13.55999999999996,batch_20260109_2216,2026-01-09 18:38:59
d94038a825a335700814351897fcc36208ac8b461832aeb3787a01645c3923d2,2016-10-03,2016-10-01,sp,credit_card,fashion_calcados,4318.559999999984,1,491.4000000000013,29.98999999999989,10.960000000000022,batch_20260109_2216,2026-01-09 18:38:59
43ebab7d2814dd935e0579b7233d9177ea8b6c8241bac39c9431a58ff233e856,2016-10-03,2016-10-01,sp,boleto,relogios_presentes,4305.600000000006,1,545.5200000000009,29.90000000000004,15.559999999999958,batch_20260109_2216,2026-01-09 18:38:59
d6a6db7f8a7f45abc3adf36e29654c00854d536de4df8a06d608bd47a3d42511,2016-10-03,2016-10-01,go,credit_card,brinquedos,18561.59999999999,1,1854.8400000000051,128.89999999999995,25.670000000000048,batch_20260109_2216,2026-01-09 18:38:59
a1a3c0c09a4084ed707a2871fcef8984150d1e931dcfb98447315d41a3c35857,2016-10-04,2016-10-01,ba,boleto,telefonia,2878.5599999999918,1,489.4799999999988,19.98999999999994,20.800000000000036,batch_20260109_2216,2026-01-09 18:38:59
2909444817e3d5039f96efdc4cadbc10d1c56d23e19eaca697ef4e3f370a4d42,2016-10-04,2016-10-01,pa,credit_card,cool_stuff,12816.0,1,1452.1200000000026,89.0,32.01000000000012,batch_20260109_2216,2026-01-09 18:38:59
9304e14b69555e43b80d371818f47269f8e51b3b416539deecec963d229dfc21,2016-10-04,2016-10-01,sp,voucher,moveis_decoracao,20145.60000000001,1,1934.880000000006,139.90000000000006,21.340000000000025,batch_20260109_2216,2026-01-09 18:38:59
cdc05bc60cc74d86e9f3ee87eba22b81a61ad2dfdfcdc53954d2f2eacf13d77b,2016-10-04,2016-10-01,sp,credit_card,climatizacao,64756.80000000025,2,6092.279999999988,149.90000000000057,19.32999999999995,batch_20260109_2216,2026-01-09 18:38:59
